,county,land_area,biome,tc_goal,treecanopy,tc_gap,priority_i,pctpocnorm,pctpovnorm,unemplnorm,dep_perc,depratnorm,health_nor,temp_norm,tes,tesctyscor,rank,rankgrpsz,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
0,Anderson County,1.2827,Forest,0.5,0.4475,0.0525,0.507740504630376,0.30330047106189,0.283495593440299,0.0,0.508664627930683,0.694816450895639,0.465671439628483,0.528400597907324,91,86.0,17,24,67.22,67.7,0.8729261137118111,66.0,68.0,45.465999999999994,45.23,10.556186811533792,35.32,62.36
1,Anderson County,2.1241,Forest,0.5,0.5791,0.0,0.639673011619718,0.858020072647687,0.910096395730634,0.656914893617021,0.352504638218924,0.281078629288696,0.465671439628483,0.130044843049327,100,86.0,1,24,67.22,67.7,0.8729261137118111,66.0,68.0,45.465999999999994,45.23,10.556186811533792,35.32,62.36
2,Anderson County,2.5378,Forest,0.5,0.4195,0.0805,0.561505799838334,0.734242390863027,0.486780719313086,0.0705499276411,0.412878787878788,0.414940453263838,0.465671439628483,0.521674140508221,86,86.0,18,24,67.22,67.7,0.8729261137118111,66.0,68.0,45.465999999999994,45.23,10.556186811533792,35.32,62.36
3,Anderson County,3.2225,Forest,0.5,0.6449,0.0,0.517795407710908,0.476605896653141,0.443384870141141,0.0,0.554441260744986,0.871067208039071,0.465671439628483,0.097159940209268,100,86.0,1,24,67.22,67.7,0.8729261137118111,66.0,68.0,45.465999999999994,45.23,10.556186811533792,35.32,62.36
4,Anderson County,2.7991,Forest,0.5,0.5738,0.0,0.526462843674523,0.534322581748405,0.950673366235005,0.205985915492957,0.406532314107019,0.399587999930667,0.96875,0.195067264573991,100,86.0,1,24,67.22,67.7,0.8729261137118111,66.0,68.0,45.465999999999994,45.23,10.556186811533792,35.32,62.36
5,Anderson County,3.2348,Forest,0.5,0.4818,0.0182,0.517974458038476,0.596670937873197,0.603744153966276,0.196308724832215,0.37020316027088,0.317660845051895,0.96875,0.505231689088191,97,86.0,12,24,67.22,67.7,0.8729261137118111,66.0,68.0,45.465999999999994,45.23,10.556186811533792,35.32,62.36
6,Anderson County,2.7853,Forest,0.5,0.4165,0.0835,0.578655770717082,0.742282137092087,0.728260198804894,0.247516556291391,0.424087123638693,0.442880473527752,0.96875,0.530642750373692,85,86.0,19,24,67.22,67.7,0.8729261137118111,66.0,68.0,45.465999999999994,45.23,10.556186811533792,35.32,62.36
7,Anderson County,2.7824,Forest,0.5,0.5621,0.0,0.387179836867805,0.255221941729322,0.393151367396538,0.0,0.319327731092437,0.217628673736646,0.96875,0.336322869955157,100,86.0,1,24,67.22,67.7,0.8729261137118111,66.0,68.0,45.465999999999994,45.23,10.556186811533792,35.32,62.36
8,Anderson County,3.5164,Forest,0.5,0.6214,0.0,0.639821185809923,1.0,0.909939481152072,0.310509554140127,0.475920679886686,0.587633395490008,0.434144736842105,0.185351270553064,100,86.0,1,24,67.22,67.7,0.8729261137118111,66.0,68.0,45.465999999999994,45.23,10.556186811533792,35.32,62.36
9,Anderson County,1.3411,Forest,0.5,0.326,0.174,0.681660670439122,0.961620650661527,1.0,0.096343873517786,0.448717948717949,0.508271546394522,0.434144736842105,0.752615844544096,63,86.0,22,24,67.22,67.7,0.8729261137118111,66.0,68.0,45.465999999999994,45.23,10.556186811533792,35.32,62.36
